ticker,bl_return,optimized_weight,sentiment,market_weight,weight_shift
GOOG,0.2919463276703698,0.0555587015677233,0.047461413,0.34481593184415704,-0.28925723027643374
NBIS,0.17594190685196945,0.06922697447996037,0.17981201,0.002367393716376814,0.06685958076358356
AMD,0.2834887578166146,0.08425640948588418,0.20438795,0.032635334880161,0.05162107460572318
LLY,0.1698979860198401,0.14717950775813707,0.13649683,0.08049093443475071,0.06668857332338636
NLR,0.04241153752628383,0.03296191670157022,0.19241902,8.646750346067923e-14,0.032961916701483754
UNH,0.1820949328020961,0.07529667204640833,-0.04674056,0.025927340977854752,0.04936933106855358
ANET,0.2498038176343853,-0.03432959687861524,0.20658155,0.014136830408843185,-0.048466427287458425
AMZN,0.8489146583857491,0.11992159445059661,0.07572628,0.22103205964968478,-0.10111046519908817
NVO,0.11660705940377183,0.05499275298155399,0.15283147,0.02394821985436941,0.03104453312718458
RDDT,0.15369935967162535,-0.059176072197880195,-0.1272412,0.003785150785056827,-0.06296122298293702
MU,0.07877087412187393,-0.013808267967679573,0.18431723,0.03530281972019761,-0.049111087687877183
META,0.15832412322305622,-0.030166827005365212,-0.03279526,0.13517959555116488,-0.1653464225565301
NFLX,0.14716888567782704,-0.049056810806242385,-0.074217856,0.03224238652312463,-0.08129919732936702
ORCL,0.13481935110936705,-0.042185953666140835,-0.05458394,0.04747294198705449,-0.08965889565319532
PATH,0.13329878040518017,0.1318819420062423,0.1974737,0.000663059667117403,0.13121888233912488
